index,equity
951,1087190.78
952,1089197.79
953,1090757.72
954,1082757.93
955,1080557.24
956,1085989.16
957,1088714.40
958,1075801.59
959,1075763.66
960,1082136.54
961,1069951.65
962,1064861.09
963,1067266.76
964,1062155.22
965,1062625.70
966,1067650.89
967,1075134.20
968,1092885.78
969,1092999.57
970,1087325.55
971,1088245.53
972,1086059.37
973,1073617.85
974,1071091.13
975,1074101.24
976,1072476.75
977,1071309.83
978,1075457.00
979,1063602.98
980,1063495.65
981,1063204.32
982,1067537.91
983,1068114.03
984,1066362.11
985,1081022.88
986,1069259.24
987,1066384.71
988,1067982.57
989,1068118.95
990,1069606.25
991,1070758.65
992,1069829.79
993,1062252.87
994,1060859.18
995,1060083.65
996,1063236.60
997,1057563.39
998,1075319.81
999,1075866.15
1000,1087408.67
1001,1088455.35
1002,1092136.08
1003,1086134.42
1004,1070881.31
1005,1069727.30
1006,1070959.59
1007,1083035.46
1008,1076261.50
1009,1076482.70
1010,1074421.62
1011,1076118.74
1012,1075699.10
1013,1078895.63
1014,1083202.59
1015,1092183.69
1016,1079949.57
1017,1086004.49
1018,1084842.41
1019,1088285.88
1020,1086795.35
1021,1090281.59
1022,1085302.40
1023,1077854.60
1024,1076035.62
1025,1069265.70
1026,1075010.73
1027,1067756.53
1028,1063963.71
1029,1068231.93
1030,1068307.71
1031,1061655.69
1032,1053951.26
1033,1054206.27
1034,1059815.73
1035,1061447.48
1036,1061324.82
1037,1062231.08
1038,1062672.51
1039,1059508.18
1040,1066523.51
1041,1063947.57
1042,1065706.83
1043,1060589.64
1044,1043715.27
1045,1042828.38
1046,1041003.75
1047,1043739.48
1048,1042346.60
1049,1043394.89
1050,1044209.96
1051,1045396.25
1052,1052998.11
1053,1050583.65
1054,1048493.52
1055,1047872.13
1056,1051163.88
1057,1051527.84
1058,1048960.77
1059,1043693.48
1060,1043618.43
1061,1042666.98
1062,1046994.11
1063,1047299.16
1064,1047244.28
1065,1048234.47
1066,1048786.46
1067,1047992.37
1068,1045821.54
1069,1048945.44
1070,1051368.78
1071,1032998.31
1072,1034088.57
1073,1034386.35
1074,1029278.85
1075,1024799.92
1076,1023090.77
1077,1024535.30
1078,1026001.62
1079,1022047.32
1080,1015728.43
1081,1011478.04
1082,1007949.84
1083,1011185.91
1084,1011807.30
1085,1002776.16
1086,1013163.06
1087,1014719.68
1088,1015028.84
1089,1012992.78
1090,1014283.98
1091,1015882.65
1092,1013912.68
1093,1003228.00
1094,1005842.68
1095,1002236.28
1096,1001969.16
1097,1001625.38
1098,990704.17
1099,990843.78
1100,987709.47
1101,994256.66
1102,995306.57
1103,988323.60
1104,989074.03
1105,995465.55
1106,988217.88
1107,987096.96
1108,986911.35
1109,986943.63
1110,988072.62
1111,983157.99
1112,975547.98
1113,979461.93
1114,980777.34
1115,975815.10
1116,978784.78
1117,979480.49
1118,978550.02
1119,977662.32
1120,978762.26
1121,962966.85
1122,963846.48
1123,947601.57
1124,948860.49
1125,956430.15
1126,955526.31
1127,961661.93
1128,965559.74
1129,964790.67
1130,956284.89
1131,973307.75
1132,975024.24
1133,977656.67
1134,970923.87
1135,974580.39
1136,968680.41
1137,969389.76
1138,968059.02
1139,969392.99
1140,962330.13
1141,966428.88
1142,969689.97
1143,965267.53
1144,965663.04
1145,964758.39
1146,966364.32
1147,973799.21
1148,970488.09
1149,963346.95
1150,963426.84
1151,967486.78
1152,968390.70
1153,971967.32
1154,974733.72
1155,968365.68
1156,967130.97
1157,968237.37
1158,969769.86
1159,965920.47
1160,955510.98
1161,962146.94
1162,961425.48
1163,959909.13
1164,973256.10
1165,967106.68
1166,968075.16
1167,970966.64
1168,971819.64
1169,961259.24
1170,960602.34
1171,963841.64
1172,985934.07
1173,983133.78
1174,984304.74
1175,990397.59
1176,988887.69
1177,986693.46
1178,989614.80
1179,989761.67
1180,990808.35
1181,986798.37
1182,993738.57
1183,997224.81
1184,994369.64
1185,995694.74
1186,995202.47
1187,992992.09
1188,986954.93
1189,981682.79
1190,995351.68
1191,995123.38
1192,996253.18
1193,993810.39
1194,991244.13
1195,989781.04
1196,987354.39
1197,976570.45
1198,977401.66
1199,970614.79
1200,971211.89
1201,977605.75
1202,980010.69
1203,985810.60
1204,986926.68
1205,988217.88
1206,986214.10
1207,989522.80
1208,990854.35
1209,987263.20
1210,988425.28
1211,987029.17
1212,980430.25
1213,985721.83
1214,988347.00
1215,986569.18
1216,986555.46
1217,993915.30
1218,1000013.80
1219,999626.44
1220,998924.35
1221,1007696.44
1222,1008293.62
1223,1004355.46
